EQUIPMENT,,,,,,,OUT,,,,,,,IN,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
PRODUCT CODE,EQUIPMENT DESCRIPTION,BRAND,IN,OUT,AVAILABLE,,PRODUCT CODE,EQUIPMENT DESCRIPTION,Ticket ,TECH,DATE,QUANTITY,,PRODUCT CODE,EQUIPMENT DESCRIPTION,TICKET,TECH,DATE,QUANTITY,
1,WYSE,,101,81,20,,9,KEYBOARD USED,32232918,Jose D ,6/24/2025,1,,9,KEYBOARD USED,Update,Melanie,6/23/2025,3,
2,DESKTOP-LENOVO,,28,17,11,,85,Keyboard pad ,no ticket ,Stiven,6/24/2025,1,,70,Cable HDMI,Update,Melanie,6/23/2025,3,
3,DESKTOP-HP,,16,11,5,,6,HEADSET-VARIOS 3.5,32224078,Kevin ,6/23/2025,1,,11,MONITORS USED,Update,Melanie,6/23/2025,4,
4,HANDPUNCH,,3,0,3,,6,HEADSET-VARIOS 3.5,Forum ,Kevin ,6/23/2025,2,,12,MOUSE USED,Update,Melanie,6/23/2025,3,
5,HEADSET-PLANTRONICS,,113,87,26,,6,HEADSET-VARIOS 3.5,No ticket (Karla),Melanie ,6/23/2025,1,,70,Cable HDMI,32184549,Kevin ,6/16/2025,1,
6,HEADSET-VARIOS 3.5,,63,60,3,,2,DESKTOP-LENOVO,No ticket (Karla & Will),Stiven,6/23/2025,2,,16,PHONE,32184549,Kevin ,6/16/2025,1,
7,KEYBOARD NEW,,65,59,6,,11,MONITORS USED,32218875,Kevin ,6/22/2025,1,,9,KEYBOARD USED,32184549,Kevin ,6/16/2025,1,
8,KEYBOARD COMBO,,44,44,0,,86,Adaptador de red RJ45 a USB,Torre 2,Andres A,6/21/2025,2,,11,MONITORS USED,32184549,Kevin ,6/16/2025,1,
9,KEYBOARD USED,,51,42,9,,22,EARPADS,Torre 2,Andres A,6/21/2025,25,,2,DESKTOP-LENOVO,32184549,Kevin ,6/16/2025,1,
10,MONITORS NEW,,92,86,6,,1,WYSE,Torre 2,Andres A,6/21/2025,4,,3,DESKTOP-HP,32184549,Kevin ,6/16/2025,1,
11,MONITORS USED,,61,46,15,,87,Adaptador de red RJ45 a C ,Torre 2,Andres A,6/21/2025,1,,1,WYSE,32184549,Kevin ,6/16/2025,1,
12,MOUSE USED,,49,35,14,,34,WRISTPAD,Torre 2,Andres A,6/21/2025,2,,11,MONITORS USED,32169116,Kevin ,6/13/2025,1,
13,SECURITY WEBCAM,,2,2,0,,29,DUAL HDMI ADAPTER,Torre 2,Andres A,6/21/2025,2,,20,LAPTOPS NEW,Update,Melanie,6/12/2025,2,
79,Mouse Wireless ,,21,4,17,,31,DISPLAYPORT ADAPTER,Torre 2,Andres A,6/21/2025,4,,9,KEYBOARD USED,32149654,Stiven ,6/10/2025,1,
14,MOUSE NEW,,101,73,28,,18,SPEAKERS,Torre 2,Andres A,6/21/2025,2,,31,DISPLAYPORT ADAPTER,Update ,Melanie ,6/2/2025,30,
15,LAPTOPS USED,,14,13,1,,21,MOUSE PAD,Torre 2,Andres A,6/21/2025,4,,7,KEYBOARD NEW,Update ,Melanie ,6/2/2025,2,
16,PHONE,,91,70,21,,7,KEYBOARD NEW,Torre 2,Andres A,6/21/2025,4,,14,MOUSE NEW,Update ,Melanie ,6/2/2025,2,
17,TABLETS,,3,2,1,,10,MONITORS NEW,Torre 2,Andres A,6/21/2025,2,,3,DESKTOP-HP,Update ,Melanie ,6/2/2025,2,
18,SPEAKERS,,19,11,8,,31,DISPLAYPORT ADAPTER,32207466,Pablo ,6/20/2025,1,,60,Cable de red 2m ,32049658,Kevin ,5/28/2025,1,
19,POWER STRIP,,14,5,9,,59,Cable de red 1m ,No ticket,Jose D ,6/19/2025,3,,62,Cable de red  5m ,32049658,Kevin ,5/28/2025,1,
20,LAPTOPS NEW,,21,18,3,,1,WYSE,No ticket,Jose D ,6/19/2025,1,,12,MOUSE USED,32049658,Kevin ,5/28/2025,2,
21,MOUSE PAD,,58,39,19,,31,DISPLAYPORT ADAPTER,No ticket,Jose D ,6/19/2025,2,,1,WYSE,32049658,Kevin ,5/28/2025,1,
22,EARPADS,,90,44,46,,26,UPS USED,32202547,Pablo,6/19/2025,1,,16,PHONE,32049658,Kevin ,5/28/2025,1,
23,HUB USB WITH RJ45 PORT,,47,25,22,,16,PHONE,32184549,Kevin ,6/16/2025,1,,11,MONITORS USED,32049658,Kevin ,5/28/2025,1,
24,CHARGES AC LENOVO,,5,2,3,,1,WYSE,32184549,Kevin ,6/16/2025,1,,20,LAPTOPS NEW,Update ,Melanie ,5/27/2025,2,
25,UPS NEW,,7,6,1,,14,MOUSE NEW,32184549,Kevin ,6/16/2025,1,,6,HEADSET-VARIOS 3.5,Update ,Melanie ,5/27/2025,10,
26,UPS USED,,29,20,9,,31,DISPLAYPORT ADAPTER,32184549,Kevin ,6/16/2025,1,,2,DESKTOP-LENOVO,,,5/20/2025,1,
27,SSD SATA 512 GB,,2,1,1,,11,MONITORS USED,32184549,Kevin ,6/16/2025,3,,1,WYSE,,,5/20/2025,1,
28,SSD 2.5 256 GB,,9,8,1,,16,PHONE,32181171,Ronald,6/15/2025,1,,26,UPS USED,31951101,Ronald ,5/17/2025,2,
29,DUAL HDMI ADAPTER,,10,6,4,,10,MONITORS NEW,32169116,Kevin ,6/13/2025,1,,12,MOUSE USED,31938787,Ronald ,5/16/2025,1,
30,WEB CAM,,16,16,0,,31,DISPLAYPORT ADAPTER,32157927,Jose D ,6/11/2025,2,,1,WYSE,31938787,Ronald ,5/16/2025,3,
31,DISPLAYPORT ADAPTER,,193,178,15,,7,KEYBOARD NEW,32158938,Pablo ,6/11/2025,1,,23,HUB USB WITH RJ45 PORT,Update ,Melanie ,5/16/2025,19,
32,KEYBOARD ERGONOMIC,,7,4,3,,10,MONITORS NEW,32148958,Andres S,6/10/2025,2,,17,TABLETS,Update ,Melanie ,5/16/2025,1,
33,USB FLASH DRIVE 64 GB,,4,1,3,,31,DISPLAYPORT ADAPTER,Torre 2,Andres S,6/10/2025,10,,16,PHONE,Update ,Melanie ,5/16/2025,1,
34,WRISTPAD,,9,5,4,,7,KEYBOARD NEW,32149654,Stiven,6/10/2025,1,,79,Mouse Wireless ,Update ,Melanie ,5/16/2025,6,
35,MEMORY 4GB DDR4 LAPTOP,,8,2,6,,1,WYSE,32145873,Kevin ,6/9/2025,1,,12,MOUSE USED,Update ,Melanie ,5/16/2025,7,
36,MEMORY 8 GB DESKTOP,,2,2,0,,1,WYSE,32137778,Stiven,6/8/2025,1,,9,KEYBOARD USED,Update ,Melanie ,5/16/2025,3,
37,MEMORY 16 GB DESKTOP,,8,2,6,,16,PHONE,32106942,Kevin ,6/6/2025,1,,7,KEYBOARD NEW,Update ,Melanie ,5/16/2025,2,
38,SSD DATA DRIVE 1 TB M2,,4,2,2,,79,Mouse Wireless ,No ticket,Kevin ,6/5/2025,1,,5,HEADSET-PLANTRONICS,Update ,Melanie ,5/16/2025,2,
39,MEMORY 4GB DDR3 LAPTOP,,12,3,9,,79,Mouse Wireless ,32097204,Pablo,6/3/2025,2,,1,WYSE,Update ,Melanie ,5/16/2025,5,
40,DISCO MECANICO,,34,0,34,,7,KEYBOARD NEW,No ticket,Ronald ,6/1/2025,1,,12,MOUSE USED,Update ,Stiven ,5/7/2025,1,
41,HEADSET USADOS,,8,5,3,,7,KEYBOARD NEW,32080367,Stiven,6/1/2025,1,,31,DISPLAYPORT ADAPTER,31619287,Ronald,5/5/2025,2,
42,MEMORY 8GB LAPTOP,,7,3,4,,16,PHONE,32067433,Kevin ,5/30/2025,1,,11,MONITORS USED,31619288,Ronald,5/5/2025,3,
43,SSD SATA 240 GB,,4,4,0,,20,LAPTOPS NEW,32049150,Andres A,5/28/2025,1,,59,Cable de red 1m ,31619289,Ronald,5/5/2025,3,
44,MEMORY 16 GB DDR4 LAPTOP,,5,5,0,,36,MEMORY 8 GB DESKTOP,No ticket,Ronald ,5/26/2025,1,,60,Cable de red 2m ,31619290,Ronald,5/6/2025,3,
45,SUPRESORES DE PICO,,10,3,7,,31,DISPLAYPORT ADAPTER,32005142,Jose D ,5/23/2025,1,,63,Cable de red 3m ,31619291,Ronald,5/5/2025,3,
47,XP-PEN para Imac,,1,0,1,,1,WYSE,No ticket Danilo ,Andres A,5/20/2025,1,,11,MONITORS USED,31619287,Ronald,5/2/2025,1,
48,Ventiladores,,1,0,1,,11,MONITORS USED,No ticket Danilo ,Andres A,5/20/2025,2,,12,MOUSE USED,31619287,Ronald,5/2/2025,1,
49,Pasta Termica,,2,0,2,,31,DISPLAYPORT ADAPTER,No ticket Danilo ,Andres A,5/20/2025,2,,1,WYSE,31619287,Ronald,5/2/2025,1,
50,Cable de corriente (Compu) ,,15,0,15,,70,Cable HDMI,No ticket Danilo ,Andres A,5/20/2025,2,,9,KEYBOARD USED,31619287,Ronald,5/2/2025,1,
51,Cable de corriente (Cargador),,11,0,11,,1,WYSE,31974927,Kevin ,5/20/2025,1,,16,PHONE,31619287,Ronald,5/2/2025,1,
52,Extensores ,,2,0,2,,31,DISPLAYPORT ADAPTER,31974927,Kevin ,5/20/2025,1,,16,PHONE,31619287,Ronald,4/18/2025,1,
53,Cable de corriente de 2 espigas,,5,0,5,,10,MONITORS NEW,31974927,Kevin ,5/20/2025,1,,1,WYSE,31619287,Ronald,4/18/2025,2,
54,Cargador Lenovo (Laptop),,4,0,4,,7,KEYBOARD NEW,31967366,Pablo,5/19/2025,1,,11,MONITORS USED,31619287,Ronald,4/18/2025,2,
55,Cargador HP (Laptop),,2,0,2,,5,HEADSET-PLANTRONICS,31956795,Jose D ,5/18/2025,1,,12,MOUSE USED,31619287,Ronald,4/18/2025,1,
56,Cable VGA,,7,1,6,,26,UPS USED,31951101,Ronald ,5/17/2025,1,,9,KEYBOARD USED,31619287,Ronald,4/18/2025,2,
57,Cable DVI - VGA -VI(doble),,0,0,0,,5,HEADSET-PLANTRONICS,31945980,Jose D ,5/16/2025,1,,15,LAPTOPS USED,No ticket,Andres A ,4/16/2025,1,
58,Cable de extension ,,2,0,2,,16,PHONE,31824902,Stiven,5/16/2025,1,,9,KEYBOARD USED,31672697,Ronald,4/13/2025,1,
59,Cable de red 1m ,,25,27,-2,,59,Cable de red 1m ,31824902,Stiven,5/16/2025,1,,9,KEYBOARD USED,31654765,Ronald ,4/12/2025,1,
60,Cable de red 2m ,,45,2,43,,63,Cable de red 3m ,31824902,Stiven,5/16/2025,1,,26,UPS USED,31614583,Ronald ,4/12/2025,1,
61,Cable de red 30cm ,,286,101,185,,70,Cable HDMI,31938787,Ronald ,5/16/2025,3,,10,MONITORS NEW,No ticket,Melanie,4/4/2025,10,
62,Cable de red  5m ,,49,4,45,,31,DISPLAYPORT ADAPTER,31938787,Ronald ,5/16/2025,3,,20,LAPTOPS NEW,No ticket,Melanie,4/4/2025,2,
63,Cable de red 3m ,,21,14,7,,11,MONITORS USED,31938787,Ronald ,5/16/2025,3,,18,SPEAKERS,No ticket,Melanie,4/4/2025,10,
64,Cable de red 6m ,,1,0,1,,1,WYSE,31938787,Ronald ,5/16/2025,3,,87,Adaptador de red RJ45 a C ,No ticket,Melanie,4/4/2025,8,
65,Cargador de wyse 19.5V - 6.7A,,25,0,25,,31,DISPLAYPORT ADAPTER,Update ,Melanie,5/16/2025,5,,23,HUB USB WITH RJ45 PORT,No ticket,Melanie,4/4/2025,2,
66,Cargador de wyse 19.5V - 3.34A,,31,0,31,,21,MOUSE PAD,Pablo ,Pablo,5/15/2025,1,,86,Adaptador de red RJ45 a USB,No ticket,Melanie,4/4/2025,8,
67,Cargador de wyse 19V -3.42A,,36,0,36,,15,LAPTOPS USED,Update ,Melanie,5/16/2025,1,,7,KEYBOARD NEW,No ticket,Melanie,4/4/2025,20,
68,Cargador 12 - 2A,,10,0,10,,14,MOUSE NEW,Update ,Melanie,5/16/2025,4,,31,DISPLAYPORT ADAPTER,No ticket,Melanie,4/4/2025,30,
69,Cargador 19V - 1.31A,,7,0,7,,13,SECURITY WEBCAM,Update ,Melanie ,5/16/2025,2,,5,HEADSET-PLANTRONICS,No ticket,Melanie ,4/3/2025,20,
70,Cable HDMI,,24,20,4,,2,DESKTOP-LENOVO,Update ,Melanie,5/16/2025,1,,60,Cable de red 2m ,31507545,Pablo ,3/25/2025,1,
71,Cable DVI - HDMI,,25,0,25,,32,KEYBOARD ERGONOMIC,HR ,Melanie,5/15/2025,1,,1,WYSE,Update ,Melanie ,3/24/2025,18,
72,Colochos de headset,,21,0,21,,79,Mouse Wireless ,HR ,Melanie,5/15/2025,1,,26,UPS USED,31424006,Stiven,3/18/2025,1,
75,Cargador PC Lenovo ,,14,0,14,,3,DESKTOP-HP,Forum ,Melanie,5/14/2025,2,,39,MEMORY 4GB DDR3 LAPTOP,Update ,Andres A,3/18/2025,2,
76,Cargador Monitor LG,,3,0,3,,11,MONITORS USED,Torre 2,Melanie,5/15/2025,2,,6,HEADSET-VARIOS 3.5,Update ,Melanie ,3/17/2025,10,
77,Cargador Monitor Samsung ,,3,0,3,,1,WYSE,31885147,Andres A,5/9/2025,1,,14,MOUSE NEW,Update,Andres A ,3/15/2025,1,
78,Handset,,33,3,30,,70,Cable HDMI,31885147,Andres A,5/9/2025,6,,85,Keyboard pad ,Update ,Melanie ,3/10/2025,5,
85,Keyboard pad ,,,,,,31,DISPLAYPORT ADAPTER,31885147,Andres A,5/9/2025,6,,26,UPS USED,Update,Melanie ,3/10/2025,6,
86,Adaptador de red RJ45 a USB,,16,6,10,,14,MOUSE NEW,31885147,Andres A,5/9/2025,4,,16,PHONE,Update,Melanie ,3/10/2025,7,
87,Adaptador de red RJ45 a C ,,,,5,,12,MOUSE USED,31885147,Andres A,5/9/2025,2,,15,LAPTOPS USED,Update,Melanie ,3/10/2025,3,
88,,,,,,,26,UPS USED,31885147,Andres A,5/9/2025,1,,14,MOUSE NEW,Update,Melanie ,3/10/2025,11,
,,,,,,,31,DISPLAYPORT ADAPTER,No ticket ,Jose D ,5/9/2025,1,,10,MONITORS NEW,Update ,Melanie ,3/10/2025,1,
,,,,,,,31,DISPLAYPORT ADAPTER,31878226,Andres A,5/8/2025,1,,2,DESKTOP-LENOVO,Update ,Melanie ,3/10/2025,12,
,,,,,,,70,Cable HDMI,31878226,Andres A,5/8/2025,1,,1,WYSE,Update ,Melanie ,3/10/2025,5,
,,,,,,,7,KEYBOARD NEW,Torre 2,Jose D ,5/6/2025,1,,9,KEYBOARD USED,1296544,Melanie ,3/4/2025,1,
,,,,,,,9,KEYBOARD USED,Torre 2,Jose D ,5/6/2025,2,,12,MOUSE USED,31216372,Ronald ,2/25/2025,2,
,,,,,,,11,MONITORS USED,31859867,Pablo ,5/6/2025,1,,1,WYSE,31231781,Ronald ,2/25/2025,1,
,,,,,,,11,MONITORS USED,31860124,Ronald ,5/6/2025,2,,11,MONITORS USED,Update ,IT TEAM ,2/25/2025,15,
,,,,,,,86,Adaptador de red RJ45 a USB,31853297,Pablo ,5/5/2025,1,,70,Cable HDMI,Update,Andres A,2/25/2025,3,
,,,,,,,62,Cable de red  5m ,31853297,Pablo ,5/5/2025,1,,16,PHONE,Update ,Melanie ,2/18/2025,23,
,,,,,,,31,DISPLAYPORT ADAPTER,31844671,Andres A,5/4/2025,1,,14,MOUSE NEW,Update ,Melanie ,2/17/2025,20,
,,,,,,,70,Cable HDMI,31844671,Andres A,5/4/2025,1,,81,not exist,Update,Melanie ,2/17/2025,5,
,,,,,,,26,UPS USED,31844515,Stiven,5/4/2025,1,,32,KEYBOARD ERGONOMIC,Update,Melanie,2/17/2025,5,
,,,,,,,16,PHONE,31824782,Pablo,5/2/2025,1,,31,DISPLAYPORT ADAPTER,Update ,Melanie ,2/17/2025,32,
,,,,,,,9,KEYBOARD USED,31814705,Andres A,5/1/2025,1,,6,HEADSET-VARIOS 3.5,Update ,Melanie,2/17/2025,5,
,,,,,,,2,DESKTOP-LENOVO,31814705,Andres A,5/1/2025,1,,26,UPS USED,31126790,Ronald ,2/13/2025,1,
,,,,,,,31,DISPLAYPORT ADAPTER,Torre 2,Andres A,4/27/2025,6,,11,MONITORS USED,,Pablo ,2/11/2025,1,
,,,,,,,1,WYSE,31784654,Andres A,4/27/2025,1,,11,MONITORS USED,No ticket,Ronald,2/11/2025,1,
,,,,,,,5,HEADSET-PLANTRONICS,31766642,Andres A,4/25/2025,2,,12,MOUSE USED,Update ,Andres A ,2/10/2025,1,
,,,,,,,31,DISPLAYPORT ADAPTER,31766548,Jose D ,4/25/2025,1,,9,KEYBOARD USED,Update,Andres A,2/10/2025,1,
,,,,,,,3,DESKTOP-HP,No ticket (will),Andres A,4/24/2025,1,,59,Cable de red 1m ,Update ,Andres A,2/10/2025,1,
,,,,,,,7,KEYBOARD NEW,31756258,Ronald ,4/24/2025,1,,63,Cable de red 3m ,Update,Andres A,2/10/2025,1,
,,,,,,,7,KEYBOARD NEW,31756641,Ronald ,4/24/2025,1,,9,KEYBOARD USED,31104342,Stiven,2/10/2025,1,
,,,,,,,7,KEYBOARD NEW,31712490,Pablo ,4/19/2025,1,,11,MONITORS USED,31087955,Jose D ,2/9/2025,1,
,,,,,,,16,PHONE,31704508,Andres A,4/18/2025,1,,1,WYSE,31087955,Jose D,2/9/2025,1,
,,,,,,,16,PHONE,31692694,Pablo ,4/17/2025,1,,9,KEYBOARD USED,31065648,Pablo ,2/7/2025,1,
,,,,,,,31,DISPLAYPORT ADAPTER,Torre 2,Jose D ,4/16/2025,4,,14,MOUSE NEW,31065648,Pablo ,2/7/2025,1,
,,,,,,,16,PHONE,31684090,Andres A,4/16/2025,1,,8,KEYBOARD COMBO,Update ,Melanie ,2/5/2025,15,
,,,,,,,20,LAPTOPS NEW,No ticket ,Andres A,4/16/2025,1,,16,PHONE,Update ,Melanie ,2/5/2025,5,
,,,,,,,15,LAPTOPS USED,Forum ,Melanie ,4/15/2025,2,,14,MOUSE NEW,Update ,Melanie ,1/30/2025,1,
,,,,,,,9,KEYBOARD USED,31672697,Ronald,4/13/2025,1,,14,MOUSE NEW,Update ,Jose Daniel ,1/30/2025,1,
,,,,,,,14,MOUSE NEW,31671255,Andres A,4/13/2025,1,,20,LAPTOPS NEW,Update ,Melanie ,1/29/2025,2,
,,,,,,,31,DISPLAYPORT ADAPTER,31664617,Pablo ,4/13/2025,1,,16,PHONE,Update ,Melanie ,1/29/2025,3,
,,,,,,,6,HEADSET-VARIOS 3.5,31654765,Stiven,4/12/2025,1,,79,Mouse Wireless ,Update ,Melanie ,1/29/2025,15,
,,,,,,,7,KEYBOARD NEW,31654765,Ronald ,4/12/2025,1,,8,KEYBOARD COMBO,Update ,Melanie ,1/29/2025,15,
,,,,,,,31,DISPLAYPORT ADAPTER,31647885,Andres S ,4/11/2025,2,,14,MOUSE NEW,Update ,Melanie,1/23/2025,2,
,,,,,,,6,HEADSET-VARIOS 3.5,31646278,Pablo ,4/11/2025,1,,12,MOUSE USED,Update ,Melanie,1/22/2025,3,
,,,,,,,22,EARPADS,31646620,Andres A,4/11/2025,1,,9,KEYBOARD USED,30864564,Stiven,1/20/2025,1,
,,,,,,,31,DISPLAYPORT ADAPTER,31639952,Ronald ,4/10/2025,1,,8,KEYBOARD COMBO,Update,Andres A,1/20/2025,2,
,,,,,,,6,HEADSET-VARIOS 3.5,31639118,Stiven,4/10/2025,1,,16,PHONE,Update,Andres A,1/20/2025,2,
,,,,,,,7,KEYBOARD NEW,31639142,Andres A,4/10/2025,1,,10,MONITORS NEW,Update,Melanie ,1/17/2025,2,
,,,,,,,10,MONITORS NEW,Torre 2,Pablo ,4/9/2025,2,,1,WYSE,Update,Melanie ,1/17/2025,1,
,,,,,,,30,WEB CAM,31632172,Andres A,4/9/2025,1,,31,DISPLAYPORT ADAPTER,Update,Melanie ,1/17/2025,2,
,,,,,,,7,KEYBOARD NEW,31630429,Andres A,4/9/2025,1,,9,KEYBOARD USED,Update,Melanie ,1/17/2025,1,
,,,,,,,7,KEYBOARD NEW,31629792,Melanie ,4/9/2025,1,,14,MOUSE NEW,Update,Melanie ,1/17/2025,1,
,,,,,,,26,UPS USED,31614583,Ronald ,4/7/2025,1,,31,DISPLAYPORT ADAPTER,Update,Melanie ,1/17/2025,2,
